FTHG,FTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season_encoded,HomeTeam_le,AwayTeam_le
3,0,13.0,7.0,3.0,2.0,10.0,9.0,6.0,5.0,1.0,1.0,0.0,0.0,0,24,12
2,0,16.0,5.0,8.0,3.0,7.0,8.0,7.0,5.0,2.0,1.0,0.0,0.0,0,27,40
1,0,14.0,5.0,6.0,3.0,17.0,19.0,7.0,5.0,1.0,4.0,0.0,1.0,0,43,28
2,1,9.0,11.0,7.0,5.0,9.0,12.0,7.0,10.0,2.0,0.0,0.0,0.0,0,13,26
2,0,24.0,7.0,11.0,2.0,16.0,23.0,8.0,4.0,0.0,3.0,0.0,0.0,0,38,17
5,0,15.0,3.0,10.0,1.0,10.0,11.0,5.0,2.0,0.0,3.0,0.0,0.0,0,0,29
3,3,13.0,6.0,6.0,4.0,6.0,16.0,7.0,2.0,2.0,0.0,0.0,0.0,0,7,40
3,3,15.0,15.0,8.0,8.0,6.0,10.0,9.0,6.0,0.0,1.0,0.0,0.0,0,12,27
4,1,19.0,5.0,10.0,3.0,8.0,14.0,3.0,6.0,0.0,0.0,0.0,0.0,0,13,16
5,0,13.0,14.0,9.0,4.0,12.0,12.0,5.0,13.0,0.0,1.0,0.0,0.0,0,26,17
1,0,12.0,13.0,3.0,5.0,13.0,15.0,2.0,10.0,3.0,4.0,1.0,0.0,0,36,22
1,0,8.0,8.0,5.0,5.0,22.0,21.0,5.0,3.0,1.0,3.0,0.0,0.0,0,38,28
1,1,13.0,15.0,5.0,4.0,14.0,15.0,4.0,4.0,1.0,3.0,0.0,0.0,0,43,1
1,0,12.0,6.0,5.0,1.0,11.0,15.0,8.0,10.0,0.0,1.0,0.0,0.0,0,14,23
0,1,14.0,11.0,5.0,6.0,12.0,14.0,8.0,5.0,1.0,3.0,0.0,0.0,0,24,21
2,2,10.0,9.0,5.0,4.0,8.0,16.0,5.0,4.0,2.0,1.0,1.0,0.0,0,1,26
1,0,4.0,14.0,3.0,5.0,17.0,10.0,3.0,5.0,1.0,3.0,0.0,0.0,0,16,14
1,1,15.0,9.0,5.0,4.0,10.0,7.0,9.0,7.0,1.0,2.0,0.0,0.0,0,17,43
3,1,15.0,13.0,7.0,4.0,11.0,12.0,6.0,1.0,1.0,2.0,0.0,0.0,0,21,36
2,0,17.0,17.0,8.0,6.0,16.0,20.0,8.0,5.0,3.0,4.0,0.0,0.0,0,22,38
3,1,9.0,12.0,5.0,8.0,11.0,16.0,5.0,5.0,1.0,2.0,0.0,0.0,0,23,12
1,0,7.0,9.0,4.0,3.0,14.0,16.0,3.0,5.0,0.0,2.0,0.0,0.0,0,28,13
2,1,17.0,7.0,6.0,3.0,16.0,17.0,4.0,3.0,0.0,2.0,0.0,0.0,0,29,7
0,1,6.0,9.0,4.0,4.0,10.0,11.0,9.0,2.0,1.0,0.0,1.0,0.0,0,27,24
1,1,8.0,17.0,4.0,10.0,20.0,14.0,3.0,7.0,2.0,1.0,0.0,0.0,0,40,0
1,1,12.0,10.0,5.0,2.0,12.0,13.0,8.0,6.0,1.0,1.0,0.0,0.0,0,14,36
1,0,10.0,10.0,7.0,4.0,15.0,21.0,13.0,6.0,1.0,4.0,0.0,0.0,0,12,17
3,0,17.0,7.0,8.0,1.0,8.0,12.0,5.0,4.0,0.0,1.0,0.0,0.0,0,13,7
2,0,8.0,8.0,5.0,4.0,17.0,16.0,2.0,3.0,1.0,2.0,0.0,0.0,0,16,29
1,2,15.0,8.0,5.0,5.0,18.0,18.0,10.0,2.0,1.0,4.0,0.0,0.0,0,22,1
2,1,11.0,11.0,6.0,4.0,7.0,5.0,6.0,5.0,1.0,0.0,0.0,0.0,0,23,43
4,0,12.0,12.0,6.0,6.0,18.0,14.0,6.0,3.0,2.0,0.0,0.0,0.0,0,24,0
2,0,20.0,5.0,4.0,3.0,7.0,8.0,11.0,3.0,0.0,1.0,0.0,0.0,0,27,21
1,0,9.0,9.0,5.0,3.0,14.0,18.0,8.0,6.0,2.0,2.0,0.0,0.0,0,38,26
0,0,16.0,5.0,8.0,0.0,22.0,13.0,8.0,4.0,2.0,3.0,0.0,0.0,0,40,28
6,1,27.0,2.0,15.0,2.0,14.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0,0,23
0,1,6.0,14.0,3.0,3.0,15.0,16.0,2.0,4.0,1.0,2.0,0.0,0.0,0,1,27
1,4,11.0,16.0,3.0,11.0,17.0,17.0,9.0,8.0,2.0,0.0,0.0,0.0,0,7,38
1,2,17.0,10.0,9.0,5.0,14.0,16.0,5.0,2.0,2.0,1.0,0.0,0.0,0,17,14
2,2,19.0,7.0,13.0,4.0,5.0,9.0,8.0,2.0,0.0,4.0,0.0,0.0,0,21,13
0,0,15.0,14.0,7.0,3.0,15.0,14.0,7.0,7.0,2.0,2.0,0.0,0.0,0,26,16
1,0,7.0,11.0,2.0,5.0,7.0,9.0,2.0,6.0,2.0,2.0,0.0,0.0,0,28,24
2,1,13.0,8.0,4.0,5.0,23.0,17.0,7.0,2.0,4.0,2.0,0.0,0.0,0,29,22
5,0,17.0,12.0,10.0,8.0,19.0,11.0,5.0,8.0,1.0,0.0,0.0,0.0,0,43,12
2,0,17.0,7.0,6.0,2.0,17.0,13.0,4.0,4.0,1.0,3.0,0.0,0.0,0,36,40
2,2,17.0,14.0,9.0,7.0,14.0,18.0,11.0,1.0,0.0,3.0,0.0,0.0,0,0,38
3,0,18.0,6.0,9.0,3.0,13.0,17.0,10.0,5.0,0.0,0.0,0.0,0.0,0,21,40
1,4,8.0,13.0,1.0,8.0,11.0,14.0,7.0,4.0,1.0,2.0,0.0,0.0,0,26,12
1,1,14.0,9.0,6.0,3.0,9.0,16.0,4.0,3.0,1.0,3.0,0.0,0.0,0,28,14
1,1,14.0,8.0,4.0,6.0,13.0,10.0,6.0,3.0,2.0,3.0,0.0,0.0,0,29,27
1,0,10.0,9.0,5.0,5.0,17.0,10.0,7.0,6.0,0.0,2.0,0.0,0.0,0,36,16
1,0,9.0,10.0,4.0,5.0,15.0,12.0,6.0,12.0,1.0,1.0,0.0,0.0,0,12,0
1,0,13.0,7.0,5.0,3.0,15.0,19.0,2.0,5.0,0.0,1.0,0.0,0.0,0,13,1
1,1,19.0,10.0,9.0,5.0,16.0,15.0,12.0,8.0,1.0,2.0,0.0,0.0,0,14,26
1,0,7.0,9.0,3.0,6.0,9.0,18.0,5.0,11.0,2.0,3.0,0.0,0.0,0,16,17
1,1,16.0,5.0,5.0,3.0,14.0,15.0,5.0,1.0,2.0,3.0,0.0,0.0,0,22,28
1,2,9.0,8.0,3.0,4.0,11.0,14.0,5.0,3.0,0.0,3.0,0.0,0.0,0,23,7
2,1,16.0,7.0,8.0,3.0,8.0,5.0,15.0,2.0,0.0,1.0,0.0,0.0,0,24,36
3,1,25.0,9.0,12.0,5.0,17.0,13.0,8.0,2.0,1.0,2.0,0.0,0.0,0,27,43
4,1,16.0,9.0,9.0,3.0,15.0,10.0,4.0,3.0,1.0,5.0,0.0,0.0,0,38,21
4,2,16.0,9.0,10.0,4.0,11.0,10.0,9.0,6.0,0.0,2.0,1.0,2.0,0,40,29
1,1,15.0,12.0,8.0,8.0,13.0,15.0,10.0,3.0,1.0,4.0,0.0,0.0,0,0,13
0,3,5.0,12.0,1.0,6.0,7.0,10.0,1.0,4.0,2.0,0.0,0.0,0.0,0,1,24
0,3,9.0,20.0,3.0,11.0,11.0,11.0,1.0,9.0,1.0,0.0,0.0,0.0,0,7,27
0,0,17.0,4.0,8.0,1.0,11.0,15.0,9.0,0.0,1.0,0.0,0.0,0.0,0,17,40
0,4,5.0,10.0,3.0,6.0,23.0,17.0,4.0,5.0,5.0,3.0,0.0,0.0,0,26,22
4,0,13.0,6.0,8.0,3.0,8.0,14.0,4.0,5.0,0.0,4.0,0.0,0.0,0,28,16
3,1,11.0,12.0,6.0,5.0,6.0,9.0,2.0,7.0,0.0,3.0,0.0,0.0,0,29,14
0,0,17.0,10.0,6.0,4.0,8.0,12.0,9.0,3.0,0.0,0.0,0.0,0.0,0,36,12
0,2,13.0,7.0,6.0,5.0,20.0,21.0,9.0,6.0,4.0,2.0,0.0,0.0,0,43,38
2,0,22.0,6.0,9.0,3.0,14.0,10.0,8.0,1.0,1.0,1.0,0.0,0.0,0,21,23
